epoch,w_img,w_txt,q_img,q_txt,use_mqm,use_aqg,fixed_weight,n_aspects,noise_ratio,noise_mode
0,0.524852,0.475148,0.551934,0.489445,1,1,0,4,0.5,gaussian
1,0.493198,0.506802,0.518433,0.489028,1,1,0,4,0.5,gaussian
2,0.521868,0.478132,0.569730,0.484032,1,1,0,4,0.5,gaussian
3,0.550879,0.449121,0.641612,0.477960,1,1,0,4,0.5,gaussian
4,0.571267,0.428733,0.716139,0.470078,1,1,0,4,0.5,gaussian
5,0.589488,0.410512,0.785778,0.459038,1,1,0,4,0.5,gaussian
6,0.607064,0.392936,0.846656,0.448894,1,1,0,4,0.5,gaussian
7,0.622164,0.377836,0.886529,0.436541,1,1,0,4,0.5,gaussian
8,0.633814,0.366186,0.914842,0.423450,1,1,0,4,0.5,gaussian
9,0.640512,0.359488,0.934826,0.408495,1,1,0,4,0.5,gaussian
10,0.646305,0.353695,0.952546,0.394321,1,1,0,4,0.5,gaussian
11,0.652168,0.347832,0.965115,0.378361,1,1,0,4,0.5,gaussian
12,0.659414,0.340586,0.973684,0.362605,1,1,0,4,0.5,gaussian
13,0.666696,0.333304,0.980789,0.346262,1,1,0,4,0.5,gaussian
14,0.673613,0.326387,0.985736,0.328673,1,1,0,4,0.5,gaussian
15,0.679946,0.320054,0.988667,0.313845,1,1,0,4,0.5,gaussian
16,0.682128,0.317872,0.990916,0.301649,1,1,0,4,0.5,gaussian
17,0.684414,0.315586,0.992645,0.284191,1,1,0,4,0.5,gaussian
18,0.686190,0.313810,0.993801,0.271121,1,1,0,4,0.5,gaussian
19,0.691518,0.308482,0.994646,0.257223,1,1,0,4,0.5,gaussian
20,0.694310,0.305690,0.995525,0.245125,1,1,0,4,0.5,gaussian
21,0.699297,0.300703,0.995853,0.231439,1,1,0,4,0.5,gaussian
22,0.702042,0.297958,0.996265,0.219213,1,1,0,4,0.5,gaussian
23,0.705266,0.294734,0.996537,0.208176,1,1,0,4,0.5,gaussian
24,0.706488,0.293512,0.996778,0.199610,1,1,0,4,0.5,gaussian
25,0.709016,0.290984,0.997012,0.189188,1,1,0,4,0.5,gaussian
26,0.711031,0.288969,0.997253,0.180594,1,1,0,4,0.5,gaussian
27,0.713175,0.286825,0.997353,0.173009,1,1,0,4,0.5,gaussian
28,0.715118,0.284882,0.997317,0.165784,1,1,0,4,0.5,gaussian
29,0.716393,0.283607,0.997470,0.158219,1,1,0,4,0.5,gaussian
